rank_frequency,nstarts,Type
1,0.7366660131622842,Background
2,0.2630126759951476,Background
3,0.13239359748240453,Background
4,0.07695569054522193,Background
5,0.04881332706508484,Background
6,0.03268557414986922,Background
7,0.02281895266810467,Background
8,0.016390195651227128,Background
9,0.012029146080930551,Background
10,0.008983539419962692,Background
11,0.006791837252899839,Background
12,0.005196718554790277,Background
13,0.004008858341113555,Background
14,0.0031244414901486694,Background
1,0.40404058049721525,Foreground
2,0.20484565494538737,Foreground
3,0.11857757204471028,Foreground
4,0.07461770610762064,Foreground
5,0.04963937077346759,Foreground
6,0.0345065834882951,Foreground
7,0.02480733854701233,Foreground
8,0.018409633842929343,Foreground
9,0.013940731368565816,Foreground
10,0.010741644145266382,Foreground
11,0.008438886577716374,Foreground
12,0.006720115949755319,Foreground
13,0.005402027116824182,Foreground
14,0.00439141781354131,Foreground
